,incorrect_image_paths,correct_image_paths,correct_identified_image_indicies,incorrect_image_indicies
0,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000018.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000018.jpg,728,318
1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_nw_11_060_20180723_000355.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008135_se_17_060_20191119_000355.jpg,1113,170
2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000211.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000211.jpg,739,23
3,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000067.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000067.jpg,732,149
4,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_se_15_060_20190831_000097.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000097.jpg,744,227
5,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000066.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000066.jpg,731,140
6,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_se_15_060_20190831_000147.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000147.jpg,749,262
7,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000114.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000118.jpg,471,209
8,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000016.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000016.jpg,726,174
9,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000249.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000259.jpg,841,69
10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000124.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000124.jpg,491,93
11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_se_15_060_20190831_000146.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000146.jpg,748,100
12,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000219.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000227.jpg,488,81
13,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000164.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000170.jpg,476,62
14,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000291.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000302.jpg,480,236
15,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_se_15_060_20190831_000145.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000145.jpg,747,228
16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000139.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000144.jpg,474,153
17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000123.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000123.jpg,490,184
18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000132.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000137.jpg,473,189
19,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000218.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000226.jpg,487,5
20,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000158.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000164.jpg,465,58
21,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_nw_11_060_20180723_000356.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008135_se_17_060_20191119_000356.jpg,1114,99
22,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000340.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000353.jpg,257,319
