,0,1,2,3
0,m_3208433_nw_16_060_20191003.tif,https://naipeuwest.blob.core.windows.net/naip/v002/al/2019/al_60cm_2019/32084/m_3208433_nw_16_060_20191003.tif,m_3208433_nw_16_060_20191003,al_60cm_2019_32084_m_3208433_nw_16_060_20191003
1,m_3509445_se_15_060_20190909.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ar/2019/ar_60cm_2019/35094/m_3509445_se_15_060_20190909.tif,m_3509445_se_15_060_20190909,ar_60cm_2019_35094_m_3509445_se_15_060_20190909
2,m_3311805_se_11_060_20180723_20190209.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311805_se_11_060_20180723_20190209.tif,m_3311805_se_11_060_20180723,ca_060cm_2018_33118_m_3311805_se_11_060_20180723_20190209
3,m_3311814_ne_11_060_20180723_20190208.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311814_ne_11_060_20180723_20190208.tif,m_3311814_ne_11_060_20180723,ca_060cm_2018_33118_m_3311814_ne_11_060_20180723_20190208
4,m_3311814_nw_11_060_20180723_20190208.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311814_nw_11_060_20180723_20190208.tif,m_3311814_nw_11_060_20180723,ca_060cm_2018_33118_m_3311814_nw_11_060_20180723_20190208
5,m_3311814_se_11_060_20180723_20190208.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311814_se_11_060_20180723_20190208.tif,m_3311814_se_11_060_20180723,ca_060cm_2018_33118_m_3311814_se_11_060_20180723_20190208
6,m_3311814_sw_11_060_20180723_20190208.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311814_sw_11_060_20180723_20190208.tif,m_3311814_sw_11_060_20180723,ca_060cm_2018_33118_m_3311814_sw_11_060_20180723_20190208
7,m_3311815_nw_11_060_20180723_20190208.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311815_nw_11_060_20180723_20190208.tif,m_3311815_nw_11_060_20180723,ca_060cm_2018_33118_m_3311815_nw_11_060_20180723_20190208
8,m_3311815_sw_11_060_20180723_20190209.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311815_sw_11_060_20180723_20190209.tif,m_3311815_sw_11_060_20180723,ca_060cm_2018_33118_m_3311815_sw_11_060_20180723_20190209
9,m_3311822_ne_11_060_20180723_20190209.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/33118/m_3311822_ne_11_060_20180723_20190209.tif,m_3311822_ne_11_060_20180723,ca_060cm_2018_33118_m_3311822_ne_11_060_20180723_20190209
10,m_3712205_ne_10_060_20180723_20190209.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/37122/m_3712205_ne_10_060_20180723_20190209.tif,m_3712205_ne_10_060_20180723,ca_060cm_2018_37122_m_3712205_ne_10_060_20180723_20190209
11,m_3712205_se_10_060_20180723_20190209.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/37122/m_3712205_se_10_060_20180723_20190209.tif,m_3712205_se_10_060_20180723,ca_060cm_2018_37122_m_3712205_se_10_060_20180723_20190209
12,m_3712206_sw_10_060_20180723_20190210.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/37122/m_3712206_sw_10_060_20180723_20190210.tif,m_3712206_sw_10_060_20180723,ca_060cm_2018_37122_m_3712206_sw_10_060_20180723_20190210
13,m_3812262_se_10_060_20180723_20190210.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/38122/m_3812262_se_10_060_20180723_20190210.tif,m_3812262_se_10_060_20180723,ca_060cm_2018_38122_m_3812262_se_10_060_20180723_20190210
14,m_3812263_sw_10_060_20180723_20190210.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/38122/m_3812263_sw_10_060_20180723_20190210.tif,m_3812263_sw_10_060_20180723,ca_060cm_2018_38122_m_3812263_sw_10_060_20180723_20190210
15,m_3812264_se_10_060_20180715_20190210.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/38122/m_3812264_se_10_060_20180715_20190210.tif,m_3812264_se_10_060_20180715,ca_060cm_2018_38122_m_3812264_se_10_060_20180715_20190210
16,m_3812264_sw_10_060_20180715_20190210.tif,https://naipeuwest.blob.core.windows.net/naip/v002/ca/2018/ca_060cm_2018/38122/m_3812264_sw_10_060_20180715_20190210.tif,m_3812264_sw_10_060_20180715,ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_20190210
17,m_3311805_se_11_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311805_se_11_060_20180723_20190209.tif,m_3311805_se_11_060_20180723,ca_60cm_2018_33118_m_3311805_se_11_060_20180723_20190209
18,m_3311814_ne_11_060_20180723_20190208.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311814_ne_11_060_20180723_20190208.tif,m_3311814_ne_11_060_20180723,ca_60cm_2018_33118_m_3311814_ne_11_060_20180723_20190208
19,m_3311814_nw_11_060_20180723_20190208.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311814_nw_11_060_20180723_20190208.tif,m_3311814_nw_11_060_20180723,ca_60cm_2018_33118_m_3311814_nw_11_060_20180723_20190208
20,m_3311814_se_11_060_20180723_20190208.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311814_se_11_060_20180723_20190208.tif,m_3311814_se_11_060_20180723,ca_60cm_2018_33118_m_3311814_se_11_060_20180723_20190208
21,m_3311814_sw_11_060_20180723_20190208.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311814_sw_11_060_20180723_20190208.tif,m_3311814_sw_11_060_20180723,ca_60cm_2018_33118_m_3311814_sw_11_060_20180723_20190208
22,m_3311815_nw_11_060_20180723_20190208.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311815_nw_11_060_20180723_20190208.tif,m_3311815_nw_11_060_20180723,ca_60cm_2018_33118_m_3311815_nw_11_060_20180723_20190208
23,m_3311815_sw_11_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311815_sw_11_060_20180723_20190209.tif,m_3311815_sw_11_060_20180723,ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_20190209
24,m_3311822_ne_11_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/33118/m_3311822_ne_11_060_20180723_20190209.tif,m_3311822_ne_11_060_20180723,ca_60cm_2018_33118_m_3311822_ne_11_060_20180723_20190209
25,m_3712205_ne_10_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/37122/m_3712205_ne_10_060_20180723_20190209.tif,m_3712205_ne_10_060_20180723,ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_20190209
26,m_3712205_se_10_060_20180723_20190209.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/37122/m_3712205_se_10_060_20180723_20190209.tif,m_3712205_se_10_060_20180723,ca_60cm_2018_37122_m_3712205_se_10_060_20180723_20190209
27,m_3712206_sw_10_060_20180723_20190210.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/37122/m_3712206_sw_10_060_20180723_20190210.tif,m_3712206_sw_10_060_20180723,ca_60cm_2018_37122_m_3712206_sw_10_060_20180723_20190210
28,m_3812262_se_10_060_20180723_20190210.tif,https://naipblobs.blob.core.windows.net/naip/v002/ca/2018/ca_60cm_2018/38122/m_3812262_se_10_060_20180723_20190210.tif,m_3812262_se_10_060_20180723,ca_60cm_2018_38122_m_3812262_se_10_060_20180723_20190210
