X,Y,FID,Company,Site,State_Name,PADD,LONGITUDE,LATITUDE,Source
-73.544161,41.043701,1,SPRAGUE OPERATING RESOURCES LLC,STAMFORD,Connecticut,1,-73.544161,41.043701,EIA815
-86.774051,36.169735,2,MPLX TERMINALS LLC,NASHVILLE,Tennessee,2,-86.774051,36.169735,EIA815
-70.984312,42.251656,3,SPRAGUE OPERATING RESOURCES LLC,QUINCY,Massachusetts,1,-70.984312,42.251656,EIA815
-90.623709,30.075723,4,MPLX TERMINALS LLC,GARYVILLE,Louisiana,3,-90.623709,30.075723,EIA815
-70.970965,42.245344,5,SPRAGUE OPERATING RESOURCES LLC,QUINCY TRT,Massachusetts,1,-70.970965,42.245344,EIA815
-80.126222,26.09679,6,MPLX TERMINALS LLC,FORT LAUDERDALE-EISENHOWER,Florida,1,-80.126222,26.09679,EIA815
-70.921197,41.629384,7,SPRAGUE OPERATING RESOURCES LLC,NEW BEDFORD,Massachusetts,1,-70.921197,41.629384,EIA815
-78.309377,35.553699,8,MPLX TERMINALS LLC,SELMA NC MOC 1,North Carolina,1,-78.309377,35.553699,EIA815
-70.285593,43.638127,9,SPRAGUE OPERATING RESOURCES LLC,SOUTH PORTLAND,Maine,1,-70.285593,43.638127,EIA815
-87.944378,37.928318,10,MPLX TERMINALS LLC,MT VERNON,Indiana,2,-87.944378,37.928318,EIA815
-78.305319,35.547177,11,MPLX TERMINALS LLC,SELMA,North Carolina,1,-78.305319,35.547177,EIA815
-68.906969,44.454735,12,SPRAGUE OPERATING RESOURCES LLC,SEARSPORT,Maine,1,-68.906969,44.454735,EIA815
-86.84916,36.163085,13,MPLX TERMINALS LLC,NASHVILLE,Tennessee,2,-86.84916,36.163085,EIA815
-70.816561,43.112689,14,SPRAGUE OPERATING RESOURCES LLC,RIVER ROAD,New Hampshire,1,-70.816561,43.112689,EIA815
-80.930227,35.278569,15,MPLX TERMINALS LLC,CHARLOTTE,North Carolina,1,-80.930227,35.278569,EIA815
-70.801973,43.10148,16,SPRAGUE OPERATING RESOURCES LLC,AVERY LANE,New Hampshire,1,-70.801973,43.10148,EIA815
-81.606558,30.413491,17,MPLX TERMINALS LLC,JACKSONVILLE,Florida,1,-81.606558,30.413491,EIA815
-76.514028,43.462,18,SPRAGUE OPERATING RESOURCES LLC,OSWEGO,New York,1,-76.514028,43.462,EIA815
-90.643028,30.055153,19,MPLX TERMINALS LLC,MT AIRY,Louisiana,3,-90.643028,30.055153,EIA815
-73.749088,42.625759,20,SPRAGUE OPERATING RESOURCES LLC,RENSELLAER,New York,1,-73.749088,42.625759,EIA815
