X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor
-93.88847,29.96046,1,83,TOTAL PETROCHEMICALS & REFINING USA,TOTAL SA,Port Arthur,Texas,3,245,117,80,0,0,43,14.5,274.5,60,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.96046,-93.88847,1
-101.415073,32.270992,2,84,ALON USA ENERGY INC,DELEK GROUP LTD,Big Spring,Texas,3,74,28,23.5,0,0,21.5,5,61,0,7.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.270992,-101.415073,0
-82.596408,38.376602,3,87,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Catlettsburg,Kentucky,2,292,130,104,0,0,57,38.5,273.5,0,35.4,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.376602,-82.596408,1
-81.413878,40.772929,4,89,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Canton,Ohio,2,100,35,26,0,0,21.5,8.5,92.5,0,14.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,40.772929,-81.413878,1
-92.994345,44.851007,5,92,ST PAUL PARK REFINING CO LLC,MARATHON PETROLEUM CORP,Saint Paul,Minnesota,2,103.7,50.6,33,0,0,24.9,17.2,113,0,14.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,44.851007,-92.994345,1
-118.236677,33.818578,6,97,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Carson,California,5,382,205,102.5,89.8,0,79,73,319,109.1,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.818578,-118.236677,1
-122.734766,48.884624,7,98,BP West Coast Products LLC,BP PLC,Ferndale,Washington,5,251,112,0,65,0,65,26,154.8,61.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,48.884624,-122.734766,1
-149.604069,70.324832,8,99,CONOCOPHILLIPS ALASKA INC,CONOCOPHILLIPS,Prudhoe Bay,Alaska,5,16,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,70.324832,-149.604069,0
-148.37813,70.253586,9,100,BP EXPLORATION ALASKA INC,BP PLC,Prudhoe Bay,Alaska,5,8,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,70.253586,-148.37813,0
-93.511874,32.59107,10,110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Princeton,Louisiana,3,8.7,7,0,0,0,0,0,0,0,2,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,32.59107,-93.511874,0
