OBJECTID,Shape,RASTER,Name,Category,Year_ts,ST,QQNAME,QQDATE
712681,Polygon,,m_4207140_se_19_060_20181016,Primary,2018,MA,4207140SE,10/16/2018
712682,Polygon,,m_4207140_sw_19_060_20181016,Primary,2018,MA,4207140SW,10/16/2018
737583,Polygon,,m_3607614_ne_18_060_20181001,Primary,2018,VA,3607614NE,NA
737585,Polygon,,m_3607614_se_18_060_20181001,Primary,2018,VA,3607614SE,NA
738778,Polygon,,m_3707653_nw_18_060_20181003,Primary,2018,VA,3707653NW,NA
798982,Polygon,,m_3009464_ne_15_060_20181115_20190503,Primary,2018,TX,3009464NE,11/15/2018
798983,Polygon,,m_3009464_nw_15_060_20181115_20190503,Primary,2018,TX,3009464NW,11/15/2018
798984,Polygon,,m_3009464_se_15_060_20181115_20190503,Primary,2018,TX,3009464SE,11/15/2018
798985,Polygon,,m_3009464_sw_15_060_20181115_20190503,Primary,2018,TX,3009464SW,11/15/2018
808535,Polygon,,m_2809505_ne_15_060_20181210_20190428,Primary,2018,TX,2809505NE,12/10/2018
808539,Polygon,,m_2809506_ne_15_060_20181210_20190428,Primary,2018,TX,2809506NE,12/10/2018
808540,Polygon,,m_2809506_nw_15_060_20181210_20190428,Primary,2018,TX,2809506NW,12/10/2018
808542,Polygon,,m_2809506_sw_15_060_20181210_20190503,Primary,2018,TX,2809506SW,12/10/2018
808764,Polygon,,m_2909301_ne_15_060_20181115_20190428,Primary,2018,TX,2909301NE,11/15/2018
808765,Polygon,,m_2909301_nw_15_060_20181115_20190428,Primary,2018,TX,2909301NW,11/15/2018
808767,Polygon,,m_2909301_sw_15_060_20181115_20190428,Primary,2018,TX,2909301SW,11/15/2018
808772,Polygon,,m_2909309_nw_15_060_20181115_20190503,Primary,2018,TX,2909309NW,11/15/2018
808809,Polygon,,m_2909408_ne_15_060_20181115_20190428,Primary,2018,TX,2909408NE,11/15/2018
808810,Polygon,,m_2909408_nw_15_060_20181115_20190428,Primary,2018,TX,2909408NW,11/15/2018
808811,Polygon,,m_2909408_se_15_060_20181115_20190428,Primary,2018,TX,2909408SE,11/15/2018
808816,Polygon,,m_2909409_sw_15_060_20181120_20190428,Primary,2018,TX,2909409SW,11/20/2018
808845,Polygon,,m_2909417_nw_15_060_20181120_20190503,Primary,2018,TX,2909417NW,11/20/2018
808846,Polygon,,m_2909417_se_15_060_20181120_20190503,Primary,2018,TX,2909417SE,11/20/2018
808898,Polygon,,m_2909433_se_15_060_20181210_20190428,Primary,2018,TX,2909433SE,12/10/2018
808899,Polygon,,m_2909433_sw_15_060_20181210_20190428,Primary,2018,TX,2909433SW,12/10/2018
808908,Polygon,,m_2909441_ne_15_060_20181210_20190428,Primary,2018,TX,2909441NE,12/10/2018
808909,Polygon,,m_2909441_nw_15_060_20181210_20190428,Primary,2018,TX,2909441NW,12/10/2018
808912,Polygon,,m_2909442_ne_15_060_20181204_20190428,Primary,2018,TX,2909442NE,12/4/2018
808913,Polygon,,m_2909442_nw_15_060_20181204_20190428,Primary,2018,TX,2909442NW,12/4/2018
808975,Polygon,,m_2909514_se_15_060_20181126_20190428,Primary,2018,TX,2909514SE,11/26/2018
808977,Polygon,,m_2909515_ne_15_060_20181126_20190428,Primary,2018,TX,2909515NE,11/26/2018
808979,Polygon,,m_2909515_se_15_060_20181126_20190428,Primary,2018,TX,2909515SE,11/26/2018
808980,Polygon,,m_2909515_sw_15_060_20181126_20190428,Primary,2018,TX,2909515SW,11/26/2018
808982,Polygon,,m_2909516_nw_15_060_20181126_20190428,Primary,2018,TX,2909516NW,11/26/2018
808983,Polygon,,m_2909516_se_15_060_20181120_20190428,Primary,2018,TX,2909516SE,11/20/2018
808984,Polygon,,m_2909516_sw_15_060_20181126_20190428,Primary,2018,TX,2909516SW,11/26/2018
809005,Polygon,,m_2909522_ne_15_060_20181126_20190503,Primary,2018,TX,2909522NE,11/26/2018
809009,Polygon,,m_2909523_ne_15_060_20181126_20190503,Primary,2018,TX,2909523NE,11/26/2018
809010,Polygon,,m_2909523_nw_15_060_20181126_20190503,Primary,2018,TX,2909523NW,11/26/2018
809013,Polygon,,m_2909524_ne_15_060_20181120_20190428,Primary,2018,TX,2909524NE,11/20/2018
809014,Polygon,,m_2909524_nw_15_060_20181126_20190428,Primary,2018,TX,2909524NW,11/26/2018
811045,Polygon,,m_3009357_sw_15_060_20181115_20190503,Primary,2018,TX,3009357SW,11/15/2018
814520,Polygon,,m_2709712_ne_14_060_20181210_20190517,Primary,2018,TX,2709712NE,12/10/2018
814522,Polygon,,m_2709712_se_14_060_20181210_20190517,Primary,2018,TX,2709712SE,12/10/2018
814524,Polygon,,m_2709713_ne_14_060_20181210_20190517,Primary,2018,TX,2709713NE,12/10/2018
814525,Polygon,,m_2709713_nw_14_060_20181210_20190517,Primary,2018,TX,2709713NW,12/10/2018
814526,Polygon,,m_2709713_se_14_060_20181210_20190517,Primary,2018,TX,2709713SE,12/10/2018
814527,Polygon,,m_2709713_sw_14_060_20181210_20190517,Primary,2018,TX,2709713SW,12/10/2018
814530,Polygon,,m_2709715_ne_14_060_20180517_20190517,Primary,2018,TX,2709715NE,5/17/2018
814531,Polygon,,m_2709715_nw_14_060_20180517_20190517,Primary,2018,TX,2709715NW,5/17/2018
824692,Polygon,,m_3311805_se_11_060_20180723_20190209,Primary,2018,CA,3311805SE,7/23/2018
824708,Polygon,,m_3311814_ne_11_060_20180723_20190208,Primary,2018,CA,3311814NE,7/23/2018
824709,Polygon,,m_3311814_nw_11_060_20180723_20190208,Primary,2018,CA,3311814NW,7/23/2018
824710,Polygon,,m_3311814_se_11_060_20180723_20190208,Primary,2018,CA,3311814SE,7/23/2018
824711,Polygon,,m_3311814_sw_11_060_20180723_20190208,Primary,2018,CA,3311814SW,7/23/2018
824713,Polygon,,m_3311815_nw_11_060_20180723_20190208,Primary,2018,CA,3311815NW,7/23/2018
824715,Polygon,,m_3311815_sw_11_060_20180723_20190209,Primary,2018,CA,3311815SW,7/23/2018
824721,Polygon,,m_3311822_ne_11_060_20180723_20190209,Primary,2018,CA,3311822NE,7/23/2018
830234,Polygon,,m_3712205_ne_10_060_20180723_20190209,Primary,2018,CA,3712205NE,7/23/2018
830236,Polygon,,m_3712205_se_10_060_20180723_20190209,Primary,2018,CA,3712205SE,7/23/2018
830241,Polygon,,m_3712206_sw_10_060_20180723_20190210,Primary,2018,CA,3712206SW,7/23/2018
831320,Polygon,,m_3812262_se_10_060_20180723_20190210,Primary,2018,CA,3812262SE,7/23/2018
831325,Polygon,,m_3812263_sw_10_060_20180723_20190210,Primary,2018,CA,3812263SW,7/23/2018
831328,Polygon,,m_3812264_se_10_060_20180715_20190210,Primary,2018,CA,3812264SE,7/15/2018
831329,Polygon,,m_3812264_sw_10_060_20180715_20190210,Primary,2018,CA,3812264SW,7/15/2018
930771,Polygon,,m_3509602_ne_14_060_20190812,Primary,2019,OK,3509602NE,8/12/2019
