,tile_names,xs,ys,incorrect_chip_paths
0,m_2608063_ne_17_060_20191120.tif,12,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000037.jpg
1,m_2608063_ne_17_060_20191120.tif,12,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000037.jpg
2,m_2608063_ne_17_060_20191120.tif,13,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000038.jpg
3,m_2608063_ne_17_060_20191120.tif,13,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000038.jpg
4,m_2608063_ne_17_060_20191120.tif,14,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000039.jpg
5,m_2608063_ne_17_060_20191120.tif,14,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000039.jpg
6,m_2608063_ne_17_060_20191120.tif,13,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000062.jpg
7,m_2608063_ne_17_060_20191120.tif,13,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000062.jpg
8,m_2608063_ne_17_060_20191120.tif,14,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000063.jpg
9,m_2608063_ne_17_060_20191120.tif,14,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608063_ne_17_060_20191120_000063.jpg
10,m_2608064_nw_17_060_20191120.tif,0,0,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000001.jpg
11,m_2608064_nw_17_060_20191120.tif,0,0,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000001.jpg
12,m_2608064_nw_17_060_20191120.tif,1,0,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000002.jpg
13,m_2608064_nw_17_060_20191120.tif,1,0,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000002.jpg
14,m_2608064_nw_17_060_20191120.tif,2,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000027.jpg
15,m_2608064_nw_17_060_20191120.tif,2,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000027.jpg
16,m_2608064_nw_17_060_20191120.tif,5,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000030.jpg
17,m_2608064_nw_17_060_20191120.tif,5,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000030.jpg
18,m_2608064_nw_17_060_20191120.tif,6,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000031.jpg
19,m_2608064_nw_17_060_20191120.tif,6,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000031.jpg
20,m_2608064_nw_17_060_20191120.tif,8,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000033.jpg
21,m_2608064_nw_17_060_20191120.tif,8,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000033.jpg
22,m_2608064_nw_17_060_20191120.tif,9,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000034.jpg
23,m_2608064_nw_17_060_20191120.tif,9,1,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000034.jpg
24,m_2608064_nw_17_060_20191120.tif,1,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000050.jpg
25,m_2608064_nw_17_060_20191120.tif,1,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000050.jpg
26,m_2608064_nw_17_060_20191120.tif,5,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000054.jpg
27,m_2608064_nw_17_060_20191120.tif,5,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000054.jpg
28,m_2608064_nw_17_060_20191120.tif,8,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000057.jpg
29,m_2608064_nw_17_060_20191120.tif,8,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000057.jpg
30,m_2608064_nw_17_060_20191120.tif,9,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000058.jpg
31,m_2608064_nw_17_060_20191120.tif,9,2,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000058.jpg
32,m_2608064_nw_17_060_20191120.tif,12,7,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000181.jpg
33,m_2608064_nw_17_060_20191120.tif,12,7,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000181.jpg
34,m_2608064_nw_17_060_20191120.tif,5,9,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000222.jpg
35,m_2608064_nw_17_060_20191120.tif,5,9,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000222.jpg
36,m_2608064_nw_17_060_20191120.tif,4,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000245.jpg
37,m_2608064_nw_17_060_20191120.tif,4,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000245.jpg
38,m_2608064_nw_17_060_20191120.tif,5,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000246.jpg
39,m_2608064_nw_17_060_20191120.tif,5,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000246.jpg
40,m_2608064_nw_17_060_20191120.tif,6,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000247.jpg
41,m_2608064_nw_17_060_20191120.tif,6,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000247.jpg
42,m_2608064_nw_17_060_20191120.tif,7,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000248.jpg
43,m_2608064_nw_17_060_20191120.tif,7,10,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000248.jpg
44,m_2608064_nw_17_060_20191120.tif,5,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000270.jpg
