,tile_name,tile_path,tile_heights,tile_widths,tile_bands,min_utmx,min_utmy,max_utmx,max_utmy,utm_projection,min_lon_tile,min_lat_tile,max_lon_tile,max_lat_tile
0,m_3608928_ne_16_060_20180920,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3608928_ne_16_060_20180920.tif,12804,10625,4,270377.1,4056631.5,276751.5,4048949.7,EPSG:26916,-89.56800556983231,36.627582928241324,-89.49454978970148,36.559911876196296
1,m_2608024_nw_17_060_20191120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2608024_nw_17_060_20191120.tif,12280,11110,4,586806.3,2959289.7,593471.7000000001,2951922.3000000003,EPSG:26917,-80.12699596840523,26.752221722583073,-80.06051579504032,26.68528220255113
2,m_3710750_se_13_060_20190909,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3710750_se_13_060_20190909.tif,12510,10260,4,249936.3,4119581.7,256091.69999999998,4112076.3000000003,EPSG:26913,-107.81714895245845,37.18922503552772,-107.74543102587816,37.123276013024785
3,m_3209351_ne_15_060_20190813,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209351_ne_15_060_20190813.tif,12514,10807,4,434942.1,3568653.3000000003,441425.69999999995,3561145.5000000005,EPSG:26915,-93.6906624487807,32.25268104849519,-93.62137459476921,32.18531093363633
4,m_3611563_sw_11_060_20190706,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3611563_sw_11_060_20190706.tif,12400,10260,4,657408.3,3992603.7,663563.7000000001,3985164.3000000003,EPSG:26911,-115.25213751267705,36.0652889549978,-115.18535698586194,35.99723388454689
5,m_4109541_ne_15_060_20180911,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4109541_ne_15_060_20180911.tif,12360,9610,4,253956.3,4584701.7,259721.69999999998,4577286.3,EPSG:26915,-95.94218501976069,41.37623435883264,-95.8703930918727,41.31126414871263
6,m_4007756_ne_18_060_20190927,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007756_ne_18_060_20190927.tif,12672,10056,4,324165.89999999997,4457844.3,330198.89999999997,4450241.7,EPSG:26918,-77.06748304182233,40.252599630161264,-76.99457849899312,40.185391297356475
7,m_4208924_nw_16_060_20181004,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208924_nw_16_060_20181004.tif,12780,9818,4,325616.1,4735542.9,331506.3,4727875.5,EPSG:26916,-89.13089138712132,42.752591259709185,-89.05668075325623,42.68490315147558
8,m_4210451_ne_13_060_20190913,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4210451_ne_13_060_20190913.tif,12270,9320,4,525576.3,4677803.7,531167.7000000001,4670442.3,EPSG:26913,-104.68994698800128,42.25200951135415,-104.62256062271031,42.1855085468002
9,m_3010137_nw_14_060_20190112,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3010137_nw_14_060_20190112.tif,12280,10760,4,259758.3,3377003.7,266213.7,3369636.3000000003,EPSG:26914,-101.50319223496689,30.50133081937786,-101.43432856687613,30.436181964004323
