,tile_name,tile_path,tile_dimensions,NW_coordinates_lonlat_tile,SE_coordinates_lonlat_tile
0,m_3608928_ne_16_060_20180920,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3608928_ne_16_060_20180920.tif,"[11777, 12237, 4]","[-89.56800600991404, 36.62909755766281]","[-89.49455003444145, 36.55840308502753]"
1,m_2608024_nw_17_060_20191120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2608024_nw_17_060_20191120.tif,"[11750, 11854, 4]","[-80.1275034430867, 26.75222160075116]","[-80.05997057962247, 26.685281280761185]"
2,m_3710750_se_13_060_20190909,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3710750_se_13_060_20190909.tif,"[11491, 11910, 4]","[-107.81714941761972, 37.190852951982265]","[-107.74542755670109, 37.12165451534149]"
3,m_3209351_ne_15_060_20190813,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209351_ne_15_060_20190813.tif,"[11649, 11855, 4]","[-93.69066273124888, 32.253038360373445]","[-93.62137239402838, 32.1849521575774]"
4,m_3611563_sw_11_060_20190706,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3611563_sw_11_060_20190706.tif,"[11487, 11782, 4]","[-115.25361887918102, 36.06528874465001]","[-115.18381865015334, 35.99723633563448]"
5,m_4109541_ne_15_060_20180911,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4109541_ne_15_060_20180911.tif,"[11068, 11609, 4]","[-95.94218563183541, 41.37797546192303]","[-95.87039011633267, 41.30952603307492]"
6,m_4007756_ne_18_060_20190927,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007756_ne_18_060_20190927.tif,"[11371, 11894, 4]","[-77.06748358435325, 40.25384468039676]","[-76.99458017599021, 40.18414723205843]"
7,m_4208924_nw_16_060_20181004,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208924_nw_16_060_20181004.tif,"[11282, 11907, 4]","[-89.13089202647035, 42.753907212076335]","[-89.05668020494699, 42.68359110602854]"
8,m_4210451_ne_13_060_20190913,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4210451_ne_13_060_20190913.tif,"[10823, 11084, 4]","[-104.69027172359264, 42.25200915053482]","[-104.62216686742595, 42.185508135156674]"
9,m_3010137_nw_14_060_20190112,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3010137_nw_14_060_20190112.tif,"[11659, 11861, 4]","[-101.50319252428663, 30.502604714099242]","[-101.43432582998696, 30.43491096012407]"
10,m_4007309_se_18_060_20190830,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007309_se_18_060_20190830.tif,"[11070, 11400, 4]","[-73.94090639009292, 40.81489488169838]","[-73.87156955270227, 40.747565339363334]"
11,m_2909008_sw_15_060_20190707,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909008_sw_15_060_20190707.tif,"[12393, 12689, 4]","[-90.12998386351224, 29.94215737301052]","[-90.05696425375915, 29.87084124721762]"
12,m_3807745_sw_18_060_20181111,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3807745_sw_18_060_20181111.tif,"[11742, 12253, 4]","[-77.50567429611452, 38.31709442719553]","[-77.43138393473144, 38.24590252930142]"
13,m_3708953_nw_16_060_20180920,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3708953_nw_16_060_20180920.tif,"[11728, 12201, 4]","[-89.50553031706325, 37.25407533162733]","[-89.4320290562956, 37.183423750887805]"
14,m_3908114_se_17_060_20190812,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3908114_se_17_060_20190812.tif,"[10934, 11146, 4]","[-81.31512510044551, 39.81444105769704]","[-81.24745636208502, 39.74805951292402]"
15,m_4010317_se_13_060_20190913,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4010317_se_13_060_20190913.tif,"[11077, 11409, 4]","[-103.94089670887337, 40.6899303683505]","[-103.871549128444, 40.62260096785649]"
16,m_4012415_sw_10_060_20180920,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4012415_sw_10_060_20180920.tif,"[10871, 11176, 4]","[-124.25303942540305, 40.814537016282266]","[-124.18459016782563, 40.74795594873269]"
17,m_4409534_ne_15_060_20190808,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4409534_ne_15_060_20190808.tif,"[11151, 11954, 4]","[-95.81886641152917, 44.5042913235062]","[-95.74319293663618, 44.43370157657599]"
18,m_3208842_ne_16_060_20181127,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3208842_ne_16_060_20181127.tif,"[11462, 11651, 4]","[-88.8153716412525, 32.37729759719443]","[-88.74716129658736, 32.31019384095347]"
19,m_3808542_sw_16_060_20180727,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808542_sw_16_060_20180727.tif,"[11609, 11980, 4]","[-85.87943591602293, 38.31634934175584]","[-85.80749578757032, 38.24663726135864]"
20,m_3310236_ne_13_060_20180928,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3310236_ne_13_060_20180928.tif,"[11598, 11877, 4]","[-102.56592915419994, 33.502637223364374]","[-102.49650619611066, 33.43484520206416]"
21,m_4008114_sw_17_060_20191012,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008114_sw_17_060_20191012.tif,"[10882, 11116, 4]","[-81.37771858534141, 40.814484299300965]","[-81.30983067041706, 40.74802560363817]"
22,m_4008040_ne_17_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008040_ne_17_060_20190918.tif,"[11266, 11666, 4]","[-80.06643001481024, 40.503244267674425]","[-79.99550190516983, 40.4347483263886]"
23,m_3110348_sw_13_060_20180924,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110348_sw_13_060_20180924.tif,"[11590, 11775, 4]","[-103.12784837018815, 31.31481766736801]","[-103.05961491518505, 31.247656336466793]"
24,m_4811117_nw_12_060_20190729,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4811117_nw_12_060_20190729.tif,"[10429, 10927, 4]","[-112.00403970743747, 48.75234867972188]","[-111.9336023648935, 48.68512182560798]"
